target,study_language,trial_type,article_onset,testing_location
Bunny,English,Mixed,2326,Montreal
Bunny,English,Single,2658,Montreal
Bunny,French,Mixed,2542,Montreal
Bunny,French,Single,2381,Montreal
Cow,English,Mixed,2337,Montreal
Cow,English,Single,2562,Montreal
Cow,French,Mixed,2337,Montreal
Cow,French,Single,2416,Montreal
Dog,English,Mixed,2295,Montreal
Dog,English,Single,2580,Montreal
Dog,French,Mixed,2519,Montreal
Dog,French,Single,2327,Montreal
Duck,English,Mixed,2522,Montreal
Duck,English,Single,2459,Montreal
Duck,French,Mixed,2689,Montreal
Duck,French,Single,2577,Montreal
Fish,English,Mixed,2520,Montreal
Fish,English,Single,2681,Montreal
Fish,French,Mixed,2598,Montreal
Fish,French,Single,2593,Montreal
Froggy,English,Mixed,2517,Montreal
Froggy,English,Single,2561,Montreal
Froggy,French,Mixed,2488,Montreal
Froggy,French,Single,2439,Montreal
Monkey,English,Mixed,2392,Montreal
Monkey,English,Single,2621,Montreal
Monkey,French,Mixed,2482,Montreal
Monkey,French,Single,2451,Montreal
Sheep,English,Mixed,2348,Montreal
Sheep,English,Single,2570,Montreal
Sheep,French,Mixed,2542,Montreal
Sheep,French,Single,2450,Montreal
Bear,English,Mixed,2346,Princeton
Bear,English,Single,2364,Princeton
Bear,Spanish,Mixed,2360,Princeton
Bear,Spanish,Single,2201,Princeton
Duck,English,Mixed,2247,Princeton
Duck,English,Single,2216,Princeton
Duck,Spanish,Mixed,2405,Princeton
Duck,Spanish,Single,2277,Princeton
Butterfly,English,Mixed,1981,Princeton
Butterfly,English,Single,2352,Princeton
Butterfly,Spanish,Mixed,2553,Princeton
Butterfly,Spanish,Single,2281,Princeton
Sheep,English,Mixed,2194,Princeton
Sheep,English,Single,2384,Princeton
Sheep,Spanish,Mixed,2364,Princeton
Sheep,Spanish,Single,2150,Princeton
Bunny,English,Mixed,1941,Princeton
Bunny,English,Single,2186,Princeton
Bunny,Spanish,Mixed,2317,Princeton
Bunny,Spanish,Single,2336,Princeton
Dog,English,Mixed,2284,Princeton
Dog,English,Single,2380,Princeton
Dog,Spanish,Mixed,2334,Princeton
Dog,Spanish,Single,2217,Princeton
Cow,English,Mixed,1848,Princeton
Cow,English,Single,2196,Princeton
Cow,Spanish,Mixed,2271,Princeton
Cow,Spanish,Single,2137,Princeton
Froggy,English,Mixed,2133,Princeton
Froggy,English,Single,2226,Princeton
Froggy,Spanish,Mixed,2270,Princeton
Froggy,Spanish,Single,2111,Princeton
