study_order,target,target_side,trial_type,trial_number
e1,Fish,r,Single,1
e1,Sheep,r,Mixed,2
e1,Dog,l,Single,3
e1,Bunny,l,Mixed,4
e1,Sheep,l,Single,5
e1,Cow,l,Mixed,6
e1,Dog,r,Mixed,7
e1,Fish,l,Mixed,8
e1,Froggy,r,Single,9
e1,Froggy,l,Mixed,10
e1,Bunny,r,Single,11
e1,Duck,r,Mixed,12
e1,Monkey,r,Single,13
e1,Duck,l,Single,14
e1,Monkey,l,Mixed,15
e1,Cow,r,Single,16
e2,Fish,l,Single,1
e2,Sheep,l,Mixed,2
e2,Dog,r,Single,3
e2,Bunny,r,Mixed,4
e2,Sheep,r,Single,5
e2,Cow,r,Mixed,6
e2,Dog,l,Mixed,7
e2,Fish,r,Mixed,8
e2,Froggy,l,Single,9
e2,Froggy,r,Mixed,10
e2,Bunny,l,Single,11
e2,Duck,l,Mixed,12
e2,Monkey,l,Single,13
e2,Duck,r,Single,14
e2,Monkey,r,Mixed,15
e2,Cow,l,Single,16
f1,Fish,r,Single,1
f1,Sheep,r,Mixed,2
f1,Dog,l,Single,3
f1,Bunny,l,Mixed,4
f1,Sheep,l,Single,5
f1,Cow,l,Mixed,6
f1,Dog,r,Mixed,7
f1,Fish,l,Mixed,8
f1,Froggy,r,Single,9
f1,Froggy,l,Mixed,10
f1,Bunny,r,Single,11
f1,Duck,r,Mixed,12
f1,Monkey,r,Single,13
f1,Duck,l,Single,14
f1,Monkey,l,Mixed,15
f1,Cow,r,Single,16
f2,Fish,l,Single,1
f2,Sheep,l,Mixed,2
f2,Dog,r,Single,3
f2,Bunny,r,Mixed,4
f2,Sheep,r,Single,5
f2,Cow,r,Mixed,6
f2,Dog,l,Mixed,7
f2,Fish,r,Mixed,8
f2,Froggy,l,Single,9
f2,Froggy,r,Mixed,10
f2,Bunny,l,Single,11
f2,Duck,l,Mixed,12
f2,Monkey,l,Single,13
f2,Duck,r,Single,14
f2,Monkey,r,Mixed,15
f2,Cow,l,Single,16
