study_id,trial_type,Window,pupil_baseline
S01,Mixed,1,0.026264129710436852
S01,Mixed,2,0.07559771232085226
S01,Mixed,3,0.06979764786412741
S01,Mixed,NA,0.14368262078283522
S01,Single,1,0.0271325721054794
S01,Single,2,0.06949503267710716
S01,Single,3,0.03598905476023863
S01,Single,NA,-1.0280691672646114e-4
S03,Mixed,1,0.028693158761371806
S03,Mixed,2,0.03492562672406941
S03,Mixed,3,0.04341810006943203
S03,Mixed,NA,0.09245862416456345
S03,Single,1,0.022853239180450357
S03,Single,2,0.033558922530125324
S03,Single,3,-0.04612385095044204
S04,Mixed,1,-7.408941076788329e-4
S04,Mixed,2,-0.007386186224893431
S04,Mixed,3,0.028739728165472222
S04,Mixed,NA,0.21258124817066915
S04,Single,1,0.019904342322333984
S04,Single,2,0.04558638358514201
S04,Single,3,0.049531082823205126
S04,Single,NA,0.03047014792205536
S05,Mixed,1,0.004237437430683481
S05,Mixed,2,0.03531206864224215
S05,Mixed,3,0.05803454134120729
S05,Mixed,NA,0.044187199447887585
S05,Single,1,-0.010888363515943108
S05,Single,2,0.026759295383243526
S05,Single,3,0.12462362005675859
S06,Mixed,1,0.023448788964022305
S06,Mixed,2,0.05357551668623508
S06,Mixed,3,0.09286454190510603
S06,Mixed,NA,0.07848405165878217
S06,Single,1,-0.014214471898015663
S06,Single,2,-0.029485612471735995
S06,Single,3,-0.03625883623204715
S07,Mixed,1,0.008645789096208239
S07,Mixed,2,0.04089096185626736
S07,Mixed,3,0.039133306314197945
S07,Mixed,NA,0.17129911534975872
S07,Single,1,0.035643703570833664
S07,Single,2,0.05799131576951111
S07,Single,3,0.11334433601449884
S11,Mixed,1,0.027919971499606913
S11,Mixed,2,0.025192023595520106
S11,Mixed,3,-0.0044141166543623985
S11,Mixed,NA,0.07811966815376221
S11,Single,1,0.009810233850056286
S11,Single,2,0.04987995234814429
S11,Single,3,0.05428579096275993
S13,Mixed,1,0.02480801089514776
S13,Mixed,2,0.08767698216339737
S13,Mixed,3,0.13697635215164028
S13,Mixed,NA,0.12106061877874164
S13,Single,1,-0.00505175891744272
S13,Single,2,-0.01709174399776198
S13,Single,3,-0.013759936899770085
S13,Single,NA,-0.06858007098784968
S14,Mixed,1,0.05610302527794134
S14,Mixed,2,0.05963517285843661
S14,Mixed,3,0.05632745384689766
S14,Mixed,NA,0.06943565886969696
S14,Single,1,0.019834897360290954
S14,Single,2,0.01975192379132151
S14,Single,3,0.04734864589424388
S17,Mixed,1,0.0343421125084335
S17,Mixed,2,0.06094736464233446
S17,Mixed,3,0.0404099795338801
S17,Mixed,NA,0.24125996444964448
S17,Single,1,0.03283336650670273
S17,Single,2,0.07217168632763818
S17,Single,3,0.0967639927648156
S17,Single,NA,0.16979511468576755
S20,Mixed,1,0.020562550102086036
S20,Mixed,2,0.03728134220027726
S20,Mixed,3,0.05280888875351234
S20,Mixed,NA,0.06026388126482652
S20,Single,1,0.006452466601511146
S20,Single,2,0.028248100131398595
S20,Single,3,0.12169498007266913
S21,Mixed,1,0.04189085121701001
S21,Mixed,2,0.09841463881394037
S21,Mixed,3,0.16113387813424376
S21,Mixed,NA,0.26324448170289083
S21,Single,1,0.0020632415850389842
S21,Single,2,0.029586760538040584
S21,Single,3,0.047618085696092265
S21,Single,NA,0.03791219853108707
S22,Mixed,1,0.016829655546037197
S22,Mixed,2,0.03090275721435719
S22,Mixed,3,0.05236974194454598
S22,Mixed,NA,0.006409222730178632
S22,Single,1,0.038746015629511625
S22,Single,2,0.06346743936838774
S22,Single,3,0.056966374458360156
S22,Single,NA,0.17109943014140905
S24,Mixed,1,0.011553560422358625
S24,Mixed,2,0.013295682664895036
S24,Mixed,3,0.0295699014397196
S24,Mixed,NA,-0.028622507488001103
S24,Single,1,-0.02468660059958928
S24,Single,2,0.03215421147578376
S24,Single,3,0.09286882030565383
S24,Single,NA,0.193847053320711
S25,Mixed,1,0.009330058612804141
S25,Mixed,2,0.03902049120355267
S25,Mixed,3,0.14465968914483524
S25,Mixed,NA,0.19767127792814077
S25,Single,1,0.026359846458191113
S25,Single,2,0.07252949954859823
S25,Single,3,0.1358071783032399
S25,Single,NA,0.16658790634619644
S26,Mixed,1,-0.02599803516016585
S26,Mixed,2,-0.047718927996477235
S26,Mixed,3,0.041836237168807335
S26,Mixed,NA,0.27428112770650426
S26,Single,1,0.04288756862051382
S26,Single,2,0.08768594298717108
S26,Single,3,0.12052344598151622
S27,Mixed,1,0.029643471340749968
S27,Mixed,2,0.12439316052944199
S27,Mixed,3,0.18244506431464902
S27,Mixed,NA,0.060432885635934186
S27,Single,1,0.03111568870487261
S27,Single,2,0.0747401607107814
S27,Single,3,0.071567921877817
S27,Single,NA,0.11887111932684775
S28,Mixed,1,-0.009528658289595943
S28,Mixed,2,-0.06452570766655503
S28,Mixed,3,-0.024401883629938923
S28,Single,1,-0.027873184146937298
S28,Single,2,-0.053259989510055825
S28,Single,3,-0.09717651988758885
S28,Single,NA,0.03796171711893607
S29,Mixed,1,0.00331464305091257
S29,Mixed,2,0.06830153352981233
S29,Mixed,3,0.17011883984952522
S29,Mixed,NA,0.19661628353229674
S29,Single,1,4.926675102642061e-4
S29,Single,2,0.021150663574638934
S29,Single,3,0.03731943812087732
