study_id,TracklossForParticipant,testing_location
S01,0.2623697916666667,Montreal
S03,0.048796356538711776,Montreal
S04,0.14388020833333334,Montreal
S05,0.039713541666666664,Montreal
S06,0.23567708333333334,Montreal
S07,0.056640625,Montreal
S11,0.09765625,Montreal
S13,0.197265625,Montreal
S14,0.038411458333333336,Montreal
S17,0.10286458333333333,Montreal
S20,0.09309895833333333,Montreal
S21,0.19205729166666666,Montreal
S22,0.15559895833333334,Montreal
S24,0.09244791666666667,Montreal
S25,0.14388020833333334,Montreal
S26,0.2649739583333333,Montreal
S27,0.3411458333333333,Montreal
S28,0.3111979166666667,Montreal
S29,0.19986979166666666,Montreal
1,0.07371794871794872,Princeton
10,0.11858974358974358,Princeton
11,0.07211538461538461,Princeton
13,0.10277777777777777,Princeton
21,0.21041666666666667,Princeton
27,0.25,Princeton
28,0.07161458333333333,Princeton
3,0.22135416666666666,Princeton
30,0.08653846153846154,Princeton
31,0.2799479166666667,Princeton
4,0.22786458333333334,Princeton
